iter	Passed	Remaining
788	3404	910
789	3406	905
790	3408	900
791	3411	895
792	3416	891
793	3418	886
794	3420	882
795	3423	877
796	3425	872
797	3432	868
798	3435	864
799	3437	859
800	3440	854
801	3443	850
802	3445	845
803	3447	840
804	3449	835
805	3451	830
806	3454	826
807	3456	821
808	3460	817
809	3462	812
810	3464	807
811	3466	802
812	3468	797
813	3470	793
814	3474	788
815	3477	784
816	3479	779
817	3481	774
818	3483	769
819	3485	765
820	3489	760
821	3491	756
822	3493	751
823	3495	746
824	3497	741
825	3499	737
826	3501	732
827	3505	728
828	3507	723
829	3509	718
830	3511	714
831	3513	709
832	3515	704
833	3520	700
834	3522	696
835	3524	691
836	3526	686
837	3528	682
838	3530	677
839	3532	672
840	3536	668
841	3540	664
842	3544	660
843	3549	656
844	3551	651
845	3553	646
846	3555	642
847	3557	637
848	3559	633
849	3561	628
850	3564	624
851	3566	619
852	3568	615
853	3570	610
854	3573	605
855	3575	601
856	3579	597
857	3581	592
858	3583	588
859	3585	583
860	3587	579
861	3589	574
862	3590	570
863	3594	565
864	3596	561
865	3598	556
866	3600	552
867	3602	547
868	3605	543
869	3607	539
870	3610	534
871	3612	530
872	3614	525
873	3616	521
874	3618	516
875	3620	512
876	3623	508
877	3625	503
878	3628	499
879	3631	495
880	3634	490
881	3638	486
882	3640	482
883	3642	478
884	3644	473
885	3647	469
886	3649	464
887	3652	460
888	3655	456
889	3658	452
890	3661	447
891	3663	443
892	3665	439
893	3669	435
894	3671	430
895	3674	426
896	3676	422
897	3678	417
898	3680	413
899	3683	409
900	3685	404
901	3687	400
902	3689	396
903	3692	392
904	3694	387
905	3698	383
906	3700	379
907	3702	375
908	3704	370
909	3706	366
910	3708	362
911	3710	358
912	3714	353
913	3716	349
914	3718	345
915	3721	341
916	3724	337
917	3726	332
918	3729	328
919	3731	324
920	3733	320
921	3735	316
922	3737	311
923	3739	307
924	3741	303
925	3744	299
926	3746	295
927	3749	290
928	3751	286
929	3753	282
930	3756	278
931	3758	274
932	3760	270
933	3762	265
934	3764	261
935	3766	257
936	3768	253
937	3772	249
938	3774	245
939	3777	241
940	3780	237
941	3782	232
942	3787	228
943	3789	224
944	3792	220
945	3794	216
946	3796	212
947	3801	208
948	3803	204
949	3806	200
950	3810	196
951	3817	192
952	3820	188
953	3823	184
954	3825	180
955	3828	176
956	3832	172
957	3835	168
958	3838	164
959	3841	160
960	3843	155
961	3849	152
962	3852	148
